NAME,GAIA_DESIG,RA,DEC,GLON,GLAT,SPEC_CLASS,SPEC_SIMBAD,COLOUR_SDSS,COLOUR_APASS,COLOUR_PS1,COLOUR_SKYM,PLX,PLX_ZP,e_PLX,M_G,G_GAIA,e_G_GAIA,BP_GAIA,e_BP_GAIA,RP_GAIA,e_RP_GAIA,PMRA_GAIA,e_PMRA_GAIA,PMDEC_GAIA,e_PMDEC_GAIA,RV_SDSS,e_RV_SDSS,RV_LAMOST,e_RV_LAMOST,TEFF,e_TEFF,LOG_G,e_LOG_G,LOG_Y,e_LOG_Y,PARAMS_REF,EB-V,e_EB-V,AV,FUV_GALEX,e_FUV_GALEX,NUV_GALEX,e_NUV_GALEX,V_APASS,e_V_APASS,B_APASS,e_B_APASS,g_APASS,e_g_APASS,r_APASS,e_r_APASS,i_APASS,e_i_APASS,u_SDSS,e_u_SDSS,g_SDSS,e_g_SDSS,r_SDSS,e_r_SDSS,I_SDSS,e_i_SDSS,z_SDSS,e_z_SDSS,u_VST,e_u_VST,g_VST,e_g_VST,r_VST,e_r_VST,I_VST,e_i_VST,z_VST,e_z_VST,u_SKYM,e_u_SKYM,v_SKYM,e_v_SKYM,g_SKYM,e_g_SKYM,r_SKYM,e_r_SKYM,i_SKYM,e_i_SKYM,z_SKYM,e_z_SKYM,g_PS1,e_g_PS1,r_PS1,e_r_PS1,i_PS1,e_i_PS1,z_PS1,e_z_PS1,y_PS1,e_y_PS1,J_2MASS,e_J_2MASS,H_2MASS,e_H_2MASS,K_2MASS,e_K_2MASS,Y_UKIDSS,e_Y_UKIDSS,J_UKIDSS,e_J_UKIDSS,H_UKIDSS,e_H_UKIDSS,K_UKIDSS,e_K_UKIDSS,Z_VISTA,e_Z_VISTA,Y_VISTA,e_Y_VISTA,J_VISTA,e_J_VISTA,H_VISTA,e_H_VISTA,Ks_VISTA,e_Ks_VISTA,W1,e_W1,W2,e_W2,W3,e_W3,W4,e_W4
HWVir,Gaia EDR3 3675067076961979264,191.08436809847,-8.67141649181,299.93409359494,54.15899856686,sdB+dM,,,,,,5.7728,5.7999,0.0590,4.4072,10.5901,0.0052,10.4683,0.0140,10.8272,0.0173,9.0086,0.0905,-15.8294,0.0560,,,,,28488,208,5.63,0.03,-2.18,0.03,1999MNRAS.305..820W,0.030,0.000,0.091,10.995,0.005,,,10.584,0.060,10.385,0.049,10.461,0.090,10.852,0.084,11.273,0.053,,,,,,,,,11.877,0.003,9.85155,0.00026,10.19080,0.00023,10.25920,0.00024,10.81740,0.00026,11.31250,0.00046,,,,,,,,,,,,,10.4130,,10.8050,,11.1160,,11.3520,,11.5310,,10.974,0.027,11.093,0.022,11.122,0.023,,,,,,,,,,,11.5382,0.0006,11.9236,0.0007,12.0781,0.0010,11.5142,0.0011,11.366,0.024,11.424,0.022,11.301,0.165,8.778,
EC12419-1408,Gaia EDR3 3527070509760831360,191.14598144857,-14.42305618312,300.43122518174,48.41541156696,sdB+MS,sdB+,sd+MS,sd+MS,sd+MS,,0.3771,0.4200,0.0456,4.0510,15.9346,0.0028,16.0161,0.0034,15.7552,0.0045,-11.3543,0.0552,0.3474,0.0347,,,,,,,,,,,,0.044,0.000,0.137,15.536,0.022,15.856,0.018,15.980,0.066,16.176,0.058,16.035,0.069,16.077,0.088,,,16.132,0.006,15.978,0.003,16.030,0.004,16.089,0.004,16.114,0.007,,,16.00460,0.00158,16.06100,0.00194,16.08520,0.00251,16.08150,0.00502,,,,,,,,,,,,,16.0110,0.0050,16.0430,0.0030,16.1170,0.0040,16.1620,0.0030,16.1810,0.0060,15.406,0.047,15.117,0.060,15.109,0.149,,,,,,,,,,,15.5823,0.0053,15.4253,0.0051,15.2060,0.0081,15.1774,0.0190,15.210,0.043,15.203,0.103,12.276,,8.495,0.295
GALEXJ12446-2748,Gaia EDR3 3495325684921885184,191.17320622610,-27.81616673263,301.11047745693,35.03172731697,He-sdO,sdOC4VII:He40,,sdO/B,sdO/B,sdO,0.4834,0.5073,0.0458,3.1696,14.6433,0.0029,14.4916,0.0033,14.9132,0.0042,-7.2252,0.0756,2.0658,0.0382,,,,,60370,1690,6.03,4.52,0.59,0.29,2021MNRAS.501..623J,0.072,0.001,0.224,13.508,0.011,13.991,0.005,14.720,0.038,14.448,0.034,14.486,0.017,14.900,0.043,15.195,0.065,,,,,,,,,,,,,,,,,,,,,14.0300,0.0080,14.1560,0.0090,14.5410,0.0120,14.8700,0.0060,15.3070,0.0150,15.6080,0.0080,14.5080,0.0050,14.9040,0.0050,15.2550,0.0040,15.5170,0.0030,15.7100,0.0020,15.332,0.046,15.528,0.100,15.991,0.326,,,,,,,,,,,15.1692,0.0040,15.2932,0.0050,,,15.5070,0.0244,15.727,0.047,15.763,0.138,12.920,,9.422,
SDSSJ124446.64-065625.8,Gaia EDR3 3676634323412520448,191.19435595114,-6.94051305919,299.98327513732,55.89309937355,sdB,sdB,sdB,,sdO/B,,0.2861,0.2790,0.2610,,18.7493,0.0034,18.6982,0.0214,18.9655,0.0358,-2.2223,0.2703,-1.4836,0.2062,198,5,,,,,,,,,,0.020,0.000,0.062,18.918,0.810,18.793,0.560,,,,,,,,,,,18.845,0.020,18.547,0.007,18.924,0.010,19.184,0.015,19.516,0.062,18.59290,0.01450,18.63710,0.00567,18.96930,0.00895,19.21830,0.01989,19.41250,0.07192,,,,,,,,,,,,,18.6140,0.0080,18.9170,0.0050,19.2200,0.0090,19.4150,0.0170,19.4560,0.0360,,,,,,,,,,,,,,,,,19.0032,0.0869,19.1534,0.1317,,,,,,,,,,,,
SDSSJ124450.03+595155.6,Gaia EDR3 1579739617723374464,191.20844895972,59.86542877126,124.46378907253,57.24317394483,sdB,sdB,sdB,,sdO/B,,0.0818,0.0590,0.1784,,18.8316,0.0035,18.7183,0.0225,19.0572,0.0641,-3.1946,0.1734,-6.0569,0.1707,-114,7,,,,,,,,,,0.010,0.000,0.032,17.439,0.056,17.815,0.049,,,,,,,,,,,18.309,0.014,18.512,0.007,19.034,0.011,19.408,0.018,19.718,0.083,,,,,,,,,,,,,,,,,,,,,,,18.6180,0.0110,19.0550,0.0090,19.4070,0.0110,19.6600,0.0330,19.7900,0.0180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG1242+441,Gaia EDR3 1540815913964920448,191.21330279165,43.88123537756,127.03874267048,73.19446955428,sdB,sdB,sdB,sdO/B,sdO/B,,0.5348,0.5370,0.0686,5.1568,16.5068,0.0028,16.4164,0.0036,16.6418,0.0061,-2.2913,0.0397,-11.0495,0.0520,,,-44,4,31302,259,5.63,0.07,-3.40,0.34,2021ApJS..256...28L,0.018,0.001,0.055,15.202,0.020,15.557,0.016,16.501,,16.359,0.035,16.238,0.008,16.772,0.048,,,16.112,0.005,16.297,0.003,16.718,0.004,16.945,0.005,17.138,0.012,,,,,,,,,,,,,,,,,,,,,,,16.3880,0.0050,16.7350,0.0030,16.9900,0.0030,17.1390,0.0030,17.2290,0.0070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHRJ1244-6601,Gaia EDR3 5861458902488176256,191.24824035790,-66.01777711506,302.27606297796,-3.15423828047,O(H),H-rich,,,,,0.3650,0.4013,0.0190,2.6815,14.6641,0.0028,15.5061,0.0031,13.7553,0.0039,-9.4610,0.0180,-0.6750,0.0210,,,,,,,,,,,,0.845,0.030,2.621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.5510,0.0150,,,,,,,,,,,,,,,,,12.393,0.019,11.700,0.020,11.504,0.021,,,,,,,,,,,,,,,,,,,11.091,0.022,11.137,0.021,10.346,0.051,7.227,0.057
PG1242+241,Gaia EDR3 3956305349435241856,191.27479532103,23.87329348309,278.86465173912,86.44478396467,sdB,sdB,sdB,sdO/B,sdO/B,,0.0856,0.0990,0.0475,,15.2903,0.0028,15.1323,0.0036,15.5831,0.0051,-1.3922,0.0493,-6.0164,0.0441,,,,,,,,,,,,0.016,0.000,0.050,13.763,0.006,14.211,0.004,15.396,0.043,15.070,0.034,15.077,0.017,15.562,0.012,15.812,,14.679,0.004,15.019,0.004,15.560,0.004,15.898,0.005,16.207,0.007,,,,,,,,,,,,,,,,,,,,,,,15.1120,0.0020,15.5530,0.0030,15.9110,0.0040,16.1970,0.0040,16.3710,0.0030,15.917,0.081,16.290,0.213,15.039,,15.890,0.006,15.996,0.008,16.104,0.016,16.204,0.026,,,,,,,,,,,16.425,0.084,16.619,,12.907,,8.999,
SDSSJ124520.88+030951.4,Gaia EDR3 3703757248045565824,191.33706377934,3.16425952824,299.19361326719,65.99179818799,sdOB,sdO,sdO,,sdO/B,,0.2830,0.2577,0.2222,,18.5328,0.0031,18.4151,0.0154,18.8458,0.0299,5.7273,0.2520,-14.4137,0.2347,38,11,,,38472,2000,6.00,0.20,-0.67,0.40,2009PhDT.......273H,0.020,0.001,0.062,17.236,0.027,17.394,0.016,,,,,,,,,,,17.994,0.013,18.344,0.007,18.859,0.011,19.204,0.020,19.319,0.073,,,,,,,,,,,,,,,,,,,,,,,18.3640,0.0060,18.8050,0.0070,19.1850,0.0080,19.4240,0.0050,19.6360,0.0270,,,,,,,19.046,0.072,,,,,,,,,,,,,,,,,,,,,,,,
SDSSJ124552.82+175112.2,Gaia EDR3 3935698538730262016,191.47000540811,17.85335276779,294.77582119509,80.63696766430,He-sdOB,sdBHe,sdO,,sdO/B,,0.4239,0.3959,0.1237,,17.9200,0.0031,17.7826,0.0092,18.2475,0.0216,-15.0588,0.1482,-10.1517,0.1577,76,6,75,68,39718,1017,5.96,0.17,-0.90,0.20,2017OAst...26..164G,0.020,0.001,0.060,16.515,0.034,16.698,0.024,,,,,,,,,,,17.327,0.010,17.679,0.006,18.177,0.008,18.528,0.011,18.885,0.038,,,,,,,,,,,,,,,,,,,,,,,17.7470,0.0040,18.1650,0.0060,18.5410,0.0060,18.8180,0.0190,18.9160,0.0270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDSSJ124619.99+160050.4,Gaia EDR3 3934328169284325376,191.58328151850,16.01400880242,296.59131936565,78.82286331431,sdOB,DAZ:,sd+MS,,sdO/B,,0.0489,0.0505,0.1189,,17.8628,0.0030,17.8346,0.0121,17.8933,0.0221,-5.4918,0.1406,-4.2581,0.1264,98,6,,,,,,,,,,0.023,0.001,0.072,16.591,0.045,16.958,0.018,,,,,,,,,,,17.630,0.010,17.716,0.005,18.026,0.007,18.226,0.009,18.414,0.025,,,,,,,,,,,,,,,,,,,,,,,17.7790,0.0010,18.0450,0.0040,18.2470,0.0050,18.3900,0.0120,18.3980,0.0250,,,,,,,17.994,0.022,17.865,0.034,17.720,0.081,17.727,0.143,,,,,,,,,,,17.254,0.179,16.718,0.428,12.370,0.443,8.980,
SDSSJ124630.65-013427.1,Gaia EDR3 3683450539590490368,191.62771646467,-1.57422949595,300.36945597466,61.27300401951,sdB+MS,sdB,sd+MS,,sd+MS,,-0.1098,-0.0913,0.1905,,18.6197,0.0033,18.6946,0.0198,18.4755,0.0257,1.5503,0.2993,-7.6458,0.2319,-7,14,87,14,,,,,,,,0.024,0.001,0.074,18.335,0.860,18.575,0.630,,,,,,,,,,,18.872,0.022,18.656,0.008,18.718,0.010,18.801,0.013,18.827,0.039,,,,,,,,,,,,,,,,,,,,,,,18.6570,0.0070,18.7350,0.0060,18.8180,0.0050,18.9050,0.0090,18.9830,0.0170,,,,,,,18.446,0.039,18.348,0.062,18.035,0.083,18.150,0.189,,,,,,,,,,,,,,,,,,
PG1244+113,Gaia EDR3 3927404445781136128,191.77764896110,11.05370992856,299.10213064820,73.89327311240,sdB+WD,sdB,sdB,sdO/B,sdO/B,,0.9169,0.9388,0.0496,3.9748,14.1120,0.0028,13.9551,0.0030,14.4044,0.0039,4.5845,0.0582,0.0139,0.0468,,,,,33800,1000,5.67,0.15,-3.00,0.10,2001MNRAS.326.1391M,0.035,0.003,0.108,13.057,0.005,13.344,0.002,14.138,0.022,13.925,0.036,13.939,0.032,14.375,0.016,14.789,0.080,13.581,0.003,13.849,0.003,14.366,0.003,14.732,0.004,15.039,0.005,,,,,,,,,,,,,,,,,,,,,,,13.9470,0.0050,14.3740,0.0030,14.7410,0.0010,15.0390,0.0070,15.2090,0.0040,14.758,0.032,14.998,0.069,14.950,0.142,14.708,0.003,14.821,0.004,14.939,0.007,15.016,0.012,,,,,,,,,,,15.114,0.043,15.137,0.112,12.196,,9.084,0.515
PG1244-004,Gaia EDR3 3683849391728631424,191.77831518748,-0.65716966419,300.61377975090,62.19511340409,sdOB,sdBO,sdO,,sdO/B,sdO,0.4881,0.4868,0.0731,4.8727,16.4360,0.0029,16.2806,0.0043,16.7479,0.0068,5.8362,0.0993,-1.9204,0.0739,9,6,,,42775,828,5.98,0.09,-2.64,0.32,2021ApJS..256...28L,0.028,0.001,0.086,14.642,0.150,15.114,0.120,16.361,0.000,,,,,,,,,15.788,0.005,16.140,0.004,16.701,0.004,17.044,0.005,17.361,0.013,,,,,,,,,,,15.7460,0.0190,15.9050,0.0370,16.3220,0.0160,16.6830,0.0040,17.1500,0.0140,17.4350,0.0110,16.2640,0.0030,16.7130,0.0030,17.0860,0.0050,17.3320,0.0030,17.5320,0.0050,,,,,,,17.014,0.012,17.135,0.021,17.155,0.042,17.111,0.077,16.8609,0.0048,16.9299,0.0084,17.1590,0.0084,17.1934,0.0219,17.2131,0.0344,,,,,,,,
SBSS1245+567,Gaia EDR3 1577430063485458432,191.86734033681,56.49945538938,124.04813976234,60.62019269110,sdB,sdB,sdB,,,,0.2181,0.2004,0.0649,,17.2942,0.0029,17.1880,0.0059,17.5524,0.0121,-7.1977,0.0650,-7.6755,0.0653,-165,6,,,26519,1285,5.37,0.18,-2.30,0.20,2017OAst...26..164G,0.007,0.001,0.023,,,,,,,,,,,,,,,16.925,0.007,17.019,0.004,17.527,0.006,17.839,0.007,18.103,0.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.9700,0.4290,19.7490,0.1730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBQS1245+1208,Gaia EDR3 3928015048395839616,191.91123968385,11.87612097134,299.40830919462,74.72191517692,sdO,sdOB,sdO,,sdO/B,,-0.1180,-0.1478,0.1845,,18.4991,0.0032,18.3695,0.0149,18.8808,0.0347,-2.0641,0.2828,-4.3735,0.2249,-11,9,,,,,,,,,,0.024,0.001,0.075,16.876,0.049,17.206,0.021,,,,,,,,,,,17.836,0.012,18.222,0.007,18.731,0.010,19.106,0.016,19.589,0.072,,,,,,,,,,,,,,,,,,,,,,,18.3030,0.0100,18.7760,0.0080,19.1500,0.0120,19.4430,0.0120,19.5920,0.0380,,,,,,,19.122,0.093,19.327,0.154,,,,,,,,,,,,,,,,,,,,,,
SDSSJ124747.51+450843.6,Gaia EDR3 1542485414995298816,191.94793492038,45.14544184121,125.00926619823,71.96809845612,He-sdOB,DC,sdO,,sdO/B,,0.5724,0.5564,0.2598,,19.4442,0.0033,19.3280,0.0235,19.7364,0.0510,-1.2078,0.1604,-2.7546,0.2103,-239,16,,,,,,,,,,0.020,0.001,0.062,17.946,0.072,18.113,0.033,,,,,,,,,,,18.709,0.020,19.158,0.010,19.687,0.018,19.986,0.030,20.093,0.131,,,,,,,,,,,,,,,,,,,,,,,19.2510,0.0150,19.6980,0.0110,20.0840,0.0090,20.2770,0.0600,20.4710,0.1270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS1244,Gaia EDR3 5862958808114896000,191.99432716521,-63.08637931214,302.54032044151,-0.21726061857,sdO,sdB1:,,sdO/B,,,1.6132,1.6456,0.0180,5.2437,14.1621,0.0028,14.1203,0.0030,14.1943,0.0039,6.5027,0.0161,-10.4733,0.0190,,,,,,,,,,,,5.461,0.765,16.927,,,14.434,0.008,14.191,0.023,14.153,0.086,14.076,0.037,14.306,0.032,14.518,0.049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.181,0.042,14.293,0.069,14.205,0.088,,,,,,,,,,,,,,,,,,,,,,,,,,
PG1245-042,Gaia EDR3 3678715462701462144,192.05777609302,-4.51312867363,301.40872106793,58.34913678273,sd,sdB7IVeHe3,,sdO/B,sdO/B,sdB,0.4639,0.4990,0.0267,2.0735,13.5828,0.0028,13.5235,0.0029,13.6994,0.0039,-21.7871,0.0355,0.7474,0.0285,,,,,,,,,,,,0.021,0.001,0.065,14.204,0.009,14.081,0.006,13.619,0.043,13.531,0.058,13.507,0.029,13.764,0.022,14.016,0.035,13.912,0.004,,,14.860,0.012,14.121,0.005,14.336,0.006,13.47290,0.00126,13.42550,0.00046,13.77190,0.00060,14.02980,0.00080,14.14990,0.00164,13.9600,0.0090,13.6870,0.0130,13.5070,0.0040,13.7120,0.0020,14.0580,0.0030,14.2960,0.0150,13.4950,0.0100,13.7790,0.0010,14.0460,0.0020,14.2390,0.0040,14.3610,0.0030,13.876,0.032,13.886,0.036,13.976,0.060,,,,,,,,,,,13.7734,0.0020,13.9161,0.0019,13.9814,0.0033,13.9636,0.0058,13.976,0.030,13.995,0.050,12.428,,8.945,
PG1245+041,Gaia EDR3 3703904449460695040,192.07956173596,3.83415103379,300.96473336877,66.69398443134,sdO,sdOB,sdO,,sdO/B,,0.1945,0.1817,0.0819,,16.7963,0.0029,16.6276,0.0050,17.1285,0.0090,8.6634,0.1013,-23.2593,0.0957,10,5,33,2,62000,800,5.92,0.04,-0.60,0.10,Geierprep,0.025,0.001,0.079,,,15.349,0.002,,,,,,,,,,,15.983,0.006,16.531,0.004,17.071,0.005,17.439,0.006,17.791,0.017,,,,,,,,,,,,,,,,,,,,,,,16.6190,0.0060,17.0810,0.0040,17.4710,0.0050,17.7510,0.0070,17.9790,0.0100,,,,,,,17.481,0.020,17.637,0.039,17.647,0.050,18.233,0.214,,,,,,,,,,,17.195,0.187,16.904,,12.700,,9.159,
EC12463-2709,Gaia EDR3 3495678353276614144,192.24583728855,-27.42363209664,302.26332452306,35.44493140666,sdB+MS,sdB+,,sd+MS,sd+MS,sd+MS,0.8696,0.9054,0.0221,2.7416,12.9575,0.0028,13.1751,0.0031,12.5846,0.0039,0.1724,0.0278,4.2411,0.0162,,,,,,,,,,,,0.058,0.001,0.181,13.809,0.013,14.097,0.004,13.086,0.026,13.493,0.025,13.238,0.020,13.013,0.009,12.922,0.041,,,,,,,,,,,,,,,,,,,,,13.8250,0.0130,13.6930,0.0120,13.1580,0.0030,12.9850,0.0100,12.9300,0.0090,12.9670,0.0030,13.3900,,13.1040,,13.0080,,12.9770,,12.9550,0.0020,12.110,0.022,11.880,0.027,11.831,0.023,,,,,,,,,,,12.3181,0.0009,12.3835,0.0008,,,11.9377,0.0014,11.784,0.023,11.804,0.023,12.107,0.227,9.393,
SBSS1247+568,Gaia EDR3 1576771314285661952,192.32191643599,56.53726428507,123.53551058289,60.58846562556,sdB,DA,,,,,-0.0025,0.0182,0.0955,,18.0136,0.0031,18.0677,0.0142,17.9923,0.0169,-1.0303,0.0994,-0.9583,0.1024,-15,6,,,,,,,,,,0.007,0.000,0.021,,,,,,,,,,,,,,,19.141,0.023,17.902,0.006,18.109,0.007,18.271,0.009,18.370,0.027,,,,,,,,,,,,,,,,,,,,,,,17.9680,0.0040,18.1310,0.0040,18.2970,0.0050,18.4050,0.0110,18.3850,0.0180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EC12466-2117,Gaia EDR3 3502607612993408256,192.33006990655,-21.56271386755,302.27647623587,41.30634111357,sdB,sdB,sd+MS,sdO/B,sdO/B,sdB,0.2588,0.2712,0.0702,,16.0934,0.0030,15.9630,0.0036,16.2861,0.0066,-21.6485,0.0843,-2.5728,0.0533,,,,,,,,,,,,0.056,0.004,0.174,15.148,0.022,15.211,0.009,16.107,0.068,15.985,0.037,15.957,0.063,16.276,0.056,,,15.654,0.005,15.879,0.003,16.299,0.004,16.599,0.005,16.849,0.011,,,,,,,,,,,15.6710,0.0240,15.7230,0.0280,15.9700,0.0310,16.2960,0.0240,16.6640,0.0170,16.9410,0.0120,15.9480,0.0040,16.3230,0.0020,16.6200,0.0020,16.8520,0.0040,16.9710,0.0050,16.435,0.106,16.347,0.206,15.706,,,,,,,,,,,,16.4039,0.0091,16.4558,0.0152,,,16.3729,0.0498,15.887,0.054,15.649,0.136,13.077,,9.369,
PG1246-122,Gaia EDR3 3529233416635552768,192.34024077754,-12.49223706612,302.13699778298,50.37630720045,sdO,sdO8VpHe19,,sdO/B,sdO/B,sdB,0.2105,0.2351,0.0451,1.4184,14.5620,0.0029,14.4224,0.0035,14.8371,0.0041,-3.9998,0.0498,-0.1695,0.0442,,,,,,,,,,,,0.041,0.001,0.127,13.303,0.008,13.894,0.004,14.638,0.035,14.426,0.033,14.405,0.026,14.871,0.043,15.192,0.129,,,,,,,,,,,,,,,,,15.13390,0.00135,,,14.1190,0.0070,14.1870,0.0240,14.4530,0.0030,14.8020,0.0030,15.2250,0.0090,15.5160,0.0100,14.4010,0.0020,14.8220,0.0040,15.1770,0.0020,15.4410,0.0030,15.6410,0.0040,15.115,0.029,15.328,0.086,15.348,0.197,,,,,,,,,,,15.0896,0.0037,15.2114,0.0042,15.3298,0.0096,15.3860,0.0188,15.407,0.046,15.437,0.122,12.491,0.388,9.282,
CS1246,Gaia EDR3 5862700251105587968,192.40658869605,-63.53608382687,302.73008427419,-0.66504377222,sdBV+dM,sdB6,,sd+MS,,,1.5497,1.5900,0.0192,5.3261,14.3191,0.0028,14.3988,0.0030,14.1511,0.0039,-17.2794,0.0181,-0.1483,0.0214,,,,,28500,700,5.46,0.11,-2.00,0.30,2010MNRAS.403..324B,7.326,0.881,22.709,,,15.526,0.021,14.371,0.025,14.553,0.127,14.350,0.069,14.390,0.066,14.409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.013,0.039,14.032,0.058,14.091,0.081,,,,,,,,,,,,,,,,,,,,,,,,,,
SDSSJ124940.68+405758.7,Gaia EDR3 1527929908268132736,192.41952776812,40.96631157594,124.32052044838,76.15719330627,sdB,DAB,sdB,,sdO/B,,0.1344,0.1228,0.1532,,18.0783,0.0030,17.9937,0.0097,18.2250,0.0231,-1.6318,0.0995,-4.2429,0.1046,-167,3,,,,,,,,,,0.014,0.001,0.042,17.570,0.050,17.689,0.017,,,,,,,,,,,17.923,0.011,17.858,0.006,18.270,0.008,18.556,0.010,18.962,0.034,,,,,,,,,,,,,,,,,,,,,,,17.9260,0.0080,18.2900,0.0060,18.5950,0.0060,18.8080,0.0240,18.9300,0.0270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EC12473-3046,Gaia EDR3 6184589353885779968,192.50886099770,-31.04874339503,302.57839638775,31.82204391531,sdB,,,sd+MS,,,1.0094,1.0386,0.1148,4.3214,14.2391,0.0031,13.9116,0.0207,14.0368,0.0453,-0.0784,0.1213,-16.5650,0.0869,,,,,,,,,,,,0.074,0.002,0.230,,,14.181,0.006,13.759,0.010,13.804,0.021,13.694,0.022,13.772,0.005,13.795,0.034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.132,0.028,12.819,0.023,12.779,0.034,,,,,,,,,,,13.4487,0.0015,13.2781,0.0012,,,12.8573,0.0023,12.629,0.023,12.701,0.025,12.494,0.312,8.811,
SDSSJ125004.24+453751.6,Gaia EDR3 1530608357250761984,192.51762625811,45.63100731061,123.68512822673,71.49524283496,sdO,sdO,sdB,,sdO/B,,0.3688,0.3716,0.1781,,18.5428,0.0031,18.3796,0.0150,18.8075,0.0367,-9.7886,0.1096,-2.8468,0.1477,152,12,,,,,,,,,,0.033,0.003,0.104,17.531,0.054,17.516,0.034,,,,,,,,,,,17.971,0.012,18.295,0.007,18.770,0.009,19.127,0.015,19.481,0.054,,,,,,,,,,,,,,,,,,,,,,,18.3660,0.0080,18.7750,0.0070,19.1380,0.0060,19.3590,0.0250,19.5050,0.0360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GD319,Gaia EDR3 1570548009752602240,192.51828969094,55.10040100929,123.34809171510,62.02674616687,sdB+MS,sdB+?,,,,,4.0109,4.0394,0.0404,5.6970,12.6654,0.0028,12.4962,0.0049,12.9196,0.0093,-66.9789,0.0358,-11.9915,0.0389,,,50,3,32895,279,5.71,0.04,-1.10,0.02,2021ApJS..256...28L,0.011,0.001,0.033,,,,,12.259,0.013,12.398,0.041,12.260,0.036,12.283,0.046,12.285,0.026,12.700,0.003,,,14.243,0.010,13.350,0.002,13.365,0.004,,,,,,,,,,,,,,,,,,,,,,,12.4740,0.0010,12.8640,0.0180,13.7230,0.0000,13.5740,0.0000,13.7990,0.0030,11.548,0.022,11.087,0.017,11.056,0.023,,,,,,,,,,,,,,,,,,,10.995,0.023,11.063,0.021,10.983,0.085,9.054,
SDSSJ125006.63+575122.4,Gaia EDR3 1577235239472819840,192.52763832785,57.85621760288,123.27744514617,59.27114187152,sdB,sdB,sdB,,sdO/B,,0.0386,0.0261,0.1125,,18.2388,0.0032,18.1559,0.0143,18.4235,0.0300,-1.3099,0.1225,-4.0079,0.1132,-277,9,-252,8,,,,,,,,0.009,0.001,0.028,17.679,0.064,17.899,0.024,,,,,,,,,,,18.107,0.013,18.004,0.006,18.441,0.008,18.747,0.013,18.979,0.043,,,,,,,,,,,,,,,,,,,,,,,18.0640,0.0100,18.4500,0.0080,18.7420,0.0130,19.0060,0.0130,19.1110,0.0470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDSSJ125029.51+505317.3,Gaia EDR3 1567936570854743040,192.62296152636,50.88813311203,123.30223370433,66.23943663591,sdO,DAO,sdO,,sdO/B,,0.3513,0.3544,0.1760,,18.6974,0.0035,18.5077,0.0132,19.0215,0.0396,0.6355,0.1544,-4.1267,0.1580,-88,17,,,86658,9000,6.38,0.20,-1.33,0.40,2009PhDT.......273H,0.013,0.001,0.039,16.496,0.028,17.019,0.019,,,,,,,,,,,17.950,0.012,18.429,0.007,18.980,0.010,19.355,0.018,19.599,0.065,,,,,,,,,,,,,,,,,,,,,,,18.4950,0.0090,18.9750,0.0130,19.3730,0.0070,19.6320,0.0160,19.8180,0.0630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG1249+761,Gaia EDR3 1692116238728076544,192.66610123492,75.88336462524,122.99464690299,41.24479116523,He-sdO,sdOC2VIIIHe36,,,sdO/B,,0.4573,0.4537,0.0346,3.6482,15.3642,0.0029,15.1940,0.0036,15.6914,0.0045,-8.5532,0.0467,-3.2509,0.0385,,,,,37643,1143,5.73,0.06,2.27,0.07,2021ApJS..256...28L,0.020,0.001,0.063,13.703,0.011,14.056,0.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.2040,0.0020,15.6450,0.0020,16.0220,0.0040,16.3030,0.0080,16.4960,0.0040,15.979,0.103,15.741,0.173,15.590,,,,,,,,,,,,,,,,,,,,,,,,,,,
