Wavelength,Flux,BestFit,SkyFlux
3782.683,16.795,15.505,6.341
3783.555,16.565,15.388,6.407
3784.426,14.122,15.258,6.935
3785.297,16.343,15.119,7.825
3786.169,14.638,14.980,8.305
3787.041,12.426,14.848,7.095
3787.913,14.756,14.701,5.596
3788.785,15.687,14.516,5.098
3789.658,13.420,14.282,6.100
3790.531,14.129,13.997,7.466
3791.403,13.496,13.666,8.756
3792.277,11.545,13.313,9.386
3793.150,11.664,12.977,9.434
3794.023,14.141,12.708,8.669
3794.897,14.312,12.550,8.127
3795.771,13.922,12.527,8.247
3796.645,10.640,12.642,7.835
3797.519,10.550,12.875,7.072
3798.394,15.163,13.186,5.849
3799.269,14.366,13.521,5.656
3800.144,12.397,13.827,6.020
3801.019,16.464,14.082,6.838
3801.894,17.059,14.290,7.457
3802.769,15.506,14.471,7.283
3803.645,15.867,14.638,6.586
3804.521,14.548,14.794,6.088
3805.397,14.467,14.942,5.819
3806.274,15.025,15.074,5.733
3807.150,12.884,15.172,6.114
3808.027,12.148,15.218,5.925
3808.904,15.017,15.207,6.036
3809.781,15.547,15.155,5.797
3810.658,15.154,15.089,5.954
3811.536,14.863,15.042,5.927
3812.414,13.409,15.036,6.245
3813.291,11.151,15.068,7.566
3814.170,11.019,15.118,8.830
3815.048,14.400,15.159,9.382
3815.926,12.706,15.170,9.242
3816.805,13.799,15.140,8.340
3817.684,13.708,15.063,8.474
3818.563,12.594,14.943,7.772
3819.443,13.613,14.792,7.408
3820.322,15.676,14.636,7.159
3821.202,13.885,14.486,6.748
3822.082,15.473,14.333,7.053
3822.962,13.566,14.170,7.329
3823.843,11.916,14.003,7.383
3824.723,14.638,13.840,6.880
3825.604,14.953,13.674,6.005
3826.485,14.644,13.486,5.532
3827.366,13.025,13.267,6.578
3828.247,14.942,13.016,8.502
3829.129,14.908,12.741,11.207
3830.011,11.048,12.457,14.073
3830.893,13.039,12.198,14.943
3831.775,12.811,12.002,15.283
3832.657,13.459,11.902,15.401
3833.540,12.375,11.910,13.560
3834.423,11.865,12.018,12.575
3835.306,13.158,12.206,11.939
3836.189,12.379,12.446,10.979
3837.072,14.979,12.711,10.282
3837.956,11.720,12.977,10.063
3838.840,12.332,13.229,9.464
3839.724,14.813,13.460,9.171
3840.608,13.776,13.673,8.743
3841.493,13.735,13.865,9.447
3842.377,13.518,14.031,9.876
3843.262,14.517,14.165,9.829
3844.147,15.819,14.269,9.204
3845.032,14.177,14.354,9.556
3845.918,11.533,14.436,10.299
3846.803,14.899,14.520,10.423
3847.689,15.378,14.598,9.464
3848.575,14.778,14.663,8.229
3849.462,14.075,14.708,7.594
3850.348,13.970,14.735,8.584
3851.235,14.212,14.741,8.840
3852.122,13.700,14.721,8.535
3853.009,14.644,14.684,7.411
3853.896,16.268,14.647,7.101
3854.784,16.461,14.626,7.154
3855.671,15.693,14.631,7.022
3856.559,15.258,14.656,6.944
3857.447,14.857,14.688,6.874
3858.336,14.213,14.718,5.973
3859.224,15.382,14.747,4.977
3860.113,13.818,14.772,4.559
3861.002,12.655,14.784,5.266
3861.891,14.308,14.780,6.059
3862.780,13.335,14.768,6.787
3863.670,14.294,14.760,6.839
3864.560,14.296,14.754,6.412
3865.449,15.129,14.735,5.510
3866.340,15.931,14.682,5.410
3867.230,15.463,14.594,5.148
3868.121,15.456,14.483,5.551
3869.011,15.117,14.369,5.448
3869.902,14.838,14.267,4.814
3870.793,13.117,14.181,3.880
3871.685,12.175,14.100,3.756
3872.576,13.763,14.013,3.696
3873.468,14.586,13.917,3.823
3874.360,12.528,13.810,4.592
3875.252,10.992,13.689,5.680
3876.145,11.897,13.557,5.860
3877.037,13.097,13.425,5.447
3877.930,13.296,13.301,4.874
3878.823,14.518,13.174,4.543
3879.717,13.453,13.019,4.563
3880.610,13.024,12.820,4.353
3881.504,12.694,12.574,3.977
3882.398,11.539,12.297,3.643
3883.292,10.493,12.014,3.595
3884.186,11.382,11.756,3.998
3885.080,11.440,11.559,4.329
3885.975,9.968,11.448,4.112
3886.870,10.232,11.439,3.609
3887.765,11.908,11.525,3.505
3888.660,12.631,11.687,3.448
3889.556,12.375,11.896,3.374
3890.451,13.337,12.119,3.417
3891.347,12.826,12.329,3.767
3892.243,14.214,12.511,3.905
3893.140,15.160,12.660,4.247
3894.036,13.233,12.782,4.514
3894.933,12.730,12.887,4.486
3895.830,12.880,12.982,4.440
3896.727,14.177,13.070,4.851
3897.625,14.087,13.151,5.113
3898.522,12.953,13.224,5.259
3899.420,12.575,13.292,5.281
3900.318,13.281,13.356,5.538
3901.216,15.598,13.412,5.819
3902.114,14.394,13.463,5.645
3903.013,14.436,13.523,5.399
3903.912,15.356,13.605,5.790
3904.811,14.298,13.706,7.016
3905.710,13.133,13.811,8.658
3906.609,13.136,13.901,9.788
3907.509,13.568,13.959,10.392
3908.409,13.141,13.974,11.070
3909.309,12.803,13.955,10.762
3910.209,13.565,13.921,10.674
3911.110,14.088,13.885,10.383
3912.010,13.836,13.851,10.125
3912.911,14.529,13.824,9.890
3913.812,13.342,13.807,9.669
3914.714,12.829,13.800,9.116
3915.615,14.371,13.797,8.238
3916.517,12.664,13.799,7.668
3917.419,12.933,13.812,7.521
3918.321,14.825,13.836,7.315
3919.223,13.994,13.864,7.434
3920.126,13.361,13.883,6.851
3921.029,14.630,13.879,6.246
3921.931,12.297,13.843,5.671
3922.835,14.829,13.770,5.462
3923.738,13.947,13.656,5.150
3924.642,13.813,13.498,5.029
3925.545,13.931,13.288,5.226
3926.449,11.956,13.019,5.157
3927.354,11.615,12.679,4.606
3928.258,12.268,12.270,4.625
3929.163,11.234,11.843,4.644
3930.067,10.550,11.498,4.628
3930.972,11.015,11.342,4.634
3931.878,11.167,11.433,4.796
3932.783,9.973,11.734,5.027
3933.689,10.498,12.139,4.940
3934.595,11.428,12.546,4.454
3935.501,11.444,12.886,4.163
3936.407,11.281,13.137,4.329
3937.314,11.808,13.299,4.389
3938.220,12.090,13.384,4.649
3939.127,12.071,13.416,5.739
3940.034,13.548,13.415,6.976
3940.942,12.174,13.397,8.348
3941.849,11.660,13.370,9.044
3942.757,14.802,13.340,9.095
3943.665,14.244,13.310,9.436
3944.573,14.346,13.278,8.671
3945.481,12.343,13.245,8.402
3946.390,11.784,13.208,8.131
3947.299,12.134,13.168,7.841
3948.208,12.241,13.131,7.863
3949.117,14.769,13.099,7.889
3950.026,13.475,13.062,7.178
3950.936,11.902,13.012,6.431
3951.846,12.461,12.949,6.735
3952.756,13.192,12.881,7.145
3953.666,12.792,12.809,6.849
3954.577,14.090,12.729,5.964
3955.487,14.432,12.639,5.637
3956.398,12.372,12.540,6.235
3957.309,12.759,12.435,6.416
3958.221,13.807,12.319,5.774
3959.132,12.240,12.180,5.160
3960.044,11.749,12.010,5.337
3960.956,12.706,11.806,5.794
3961.868,12.265,11.566,6.125
3962.780,11.572,11.297,5.454
3963.693,10.632,11.014,4.681
3964.606,9.691,10.744,4.113
3965.519,10.952,10.532,4.019
3966.432,11.052,10.421,4.076
3967.345,9.773,10.430,3.912
3968.259,9.751,10.549,3.302
3969.173,10.696,10.746,2.685
3970.087,11.628,10.982,2.862
3971.001,13.162,11.223,3.355
3971.915,10.696,11.445,3.873
3972.830,12.828,11.639,4.219
3973.745,13.207,11.811,4.756
3974.660,12.121,11.963,5.504
3975.575,13.299,12.093,6.000
3976.491,13.089,12.202,6.283
3977.407,12.601,12.296,6.319
3978.323,13.599,12.381,6.226
3979.239,13.543,12.455,5.935
3980.155,12.566,12.514,5.972
3981.072,12.322,12.559,6.462
3981.988,12.444,12.603,6.512
3982.905,13.423,12.655,6.162
3983.823,12.464,12.712,5.983
3984.740,12.726,12.769,6.454
3985.658,12.568,12.825,6.237
3986.576,10.886,12.879,5.552
3987.494,12.964,12.928,4.925
3988.412,12.277,12.971,5.678
3989.330,12.836,13.008,6.297
3990.249,13.923,13.033,6.331
3991.168,13.912,13.038,5.663
3992.087,13.411,13.024,5.066
3993.006,14.336,13.000,5.370
3993.926,13.347,12.980,6.042
3994.846,13.377,12.976,5.788
3995.766,12.840,12.989,5.117
3996.686,12.397,13.016,4.918
3997.606,12.780,13.045,4.850
3998.527,11.536,13.060,5.351
3999.447,12.780,13.048,6.293
4000.369,11.910,13.014,6.652
4001.290,12.306,12.977,6.370
4002.211,13.314,12.959,5.613
4003.133,12.801,12.962,5.392
4004.055,13.511,12.986,5.438
4004.977,12.422,13.024,5.790
4005.899,12.240,13.064,5.718
4006.822,12.329,13.090,6.214
4007.744,12.719,13.094,6.961
4008.667,13.563,13.085,7.799
4009.590,13.275,13.073,8.466
4010.514,12.886,13.068,8.862
4011.437,11.974,13.071,8.441
4012.361,12.438,13.080,8.229
4013.285,13.066,13.095,8.664
4014.209,12.296,13.113,8.566
4015.134,12.540,13.129,8.010
4016.058,13.375,13.135,7.672
4016.983,14.275,13.121,7.218
4017.908,13.270,13.087,6.641
4018.833,12.546,13.052,7.005
4019.759,13.665,13.033,7.550
4020.685,12.545,13.020,8.071
4021.610,12.195,13.006,8.408
4022.537,10.713,12.993,8.254
4023.463,10.416,12.981,7.776
4024.389,10.647,12.965,7.223
